T+,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
-3.0,19.98,20.28,-273.15,-0.07,0.96,0
-2.9,20.28,20.86,-15.78,-0.08,1.0,0
-2.8,19.98,21.72,-273.15,-0.08,1.0,0
-2.7,19.98,20.28,-38.36,-0.08,1.0,0
-2.6,19.98,20.86,-273.15,-0.07,1.0,0
-2.5,19.98,20.86,-273.15,-0.07,0.96,0
-2.4,19.68,20.86,-12.2,-0.08,1.0,0
-2.4,19.38,20.86,-273.15,-0.07,1.0,0
-2.3,19.07,20.57,-34.26,-0.07,1.0,0
-2.2,20.57,20.86,-273.15,-0.08,0.96,0
-2.1,20.57,21.15,-43.9,-0.09,1.0,0
-2.0,19.98,20.86,-10.11,-0.09,1.0,0
-1.9,20.28,20.86,-273.15,-0.09,1.0,0
-1.8,19.98,20.28,-273.15,-0.09,0.96,0
-1.7,19.38,21.15,-273.15,-0.08,1.0,0
-1.6,19.68,21.44,-273.15,-0.08,1.0,0
-1.5,20.28,21.15,-5.66,-0.08,1.0,0
-1.4,20.28,21.72,-273.15,-0.08,1.0,0
-1.3,19.98,20.86,-34.26,-0.08,1.0,0
-1.2,19.98,21.15,-34.26,-0.09,1.0,0
-1.1,19.68,20.86,-34.26,-0.09,1.0,0
-1.0,19.98,20.86,-38.36,-0.09,1.0,0
-0.9,19.98,20.86,-30.98,-0.08,1.0,0
-0.8,19.98,21.72,-28.23,-0.08,1.0,0
-0.7,19.68,20.86,-43.9,-0.09,0.96,0
-0.6,19.98,21.15,-273.15,-0.09,1.0,0
-0.5,20.28,20.86,-273.15,-0.1,0.96,0
-0.5,19.68,20.57,-273.15,-0.1,0.96,0
-0.4,19.98,20.86,-273.15,-0.09,1.0,0
-0.3,19.68,20.86,-12.2,-0.09,1.0,0
-0.2,20.86,20.28,-28.23,-0.09,1.0,0
-0.1,19.98,20.57,-273.15,-0.09,1.0,0
0.0,20.28,20.86,-273.15,-0.09,1.0,1
0.1,20.28,20.86,-34.26,-0.09,1.0,1
0.1,19.98,20.86,-273.15,-0.09,2.43,1
0.2,19.98,20.86,-273.15,-0.08,5.6,1
0.3,19.68,20.86,-30.98,0.89,7.92,1
0.4,19.68,20.86,-273.15,13.19,8.09,1
0.5,19.98,20.86,-43.9,27.07,8.14,1
0.6,20.28,20.86,-34.26,31.46,8.01,1
0.7,19.68,21.15,-273.15,33.21,8.05,1
0.8,19.98,20.86,-43.9,34.4,7.92,1
0.9,19.98,20.86,-273.15,35.39,8.05,1
1.0,20.28,20.86,-38.36,36.19,8.09,1
1.1,20.86,21.44,-13.32,36.59,8.09,1
1.1,19.98,21.15,-273.15,36.73,8.26,1
1.2,19.98,21.15,-34.26,36.96,8.26,1
