T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
0.0,19.68,21.15,-38.36,-0.09,1.00,0
0.1,19.98,21.44,-14.51,-0.09,1.00,0
0.2,20.57,20.86,-43.90,-0.09,1.00,0
0.2,19.68,20.28,-273.15,-0.09,1.00,0
0.3,19.98,20.86,-273.15,-0.09,1.00,0
0.4,19.68,21.15,-25.85,-0.09,1.00,0
0.5,20.28,20.86,-273.15,-0.09,1.00,0
0.6,20.28,21.15,-273.15,-0.08,1.00,0
0.7,19.68,21.15,-21.86,-0.09,1.00,0
0.8,19.38,21.15,-273.15,-0.08,0.96,0
0.8,19.07,20.57,-273.15,-0.09,1.00,0
0.9,19.98,20.86,-25.85,-0.08,1.00,0
1.0,19.98,21.15,-34.26,-0.08,1.00,0
1.1,19.98,20.86,-28.23,-0.08,0.96,0
1.2,19.98,20.86,-273.15,-0.09,1.00,0
1.3,20.28,20.86,-34.26,-0.09,0.96,0
1.4,19.68,21.15,-273.15,-0.09,0.96,0
1.5,19.98,20.86,-273.15,-0.09,1.00,0
1.6,19.98,20.86,-273.15,-0.08,1.00,0
1.7,19.98,20.86,-273.15,-0.08,1.00,0
1.8,20.28,20.86,-21.86,-0.09,1.00,0
1.9,19.98,20.86,-273.15,-0.09,1.00,0
1.9,19.98,20.86,-38.36,-0.08,1.00,0
2.0,19.38,21.15,-11.13,-0.08,1.00,0
2.1,19.98,20.28,-273.15,-0.08,1.00,0
2.2,19.98,20.86,-34.26,-0.08,1.00,0
2.3,20.28,21.15,-273.15,-0.08,1.00,0
2.4,19.98,20.28,-273.15,-0.07,0.96,0
2.5,20.28,20.86,-15.78,-0.08,1.00,0
2.6,19.98,21.72,-273.15,-0.08,1.00,0
2.7,19.98,20.28,-38.36,-0.08,1.00,0
2.8,19.98,20.86,-273.15,-0.07,1.00,0
2.9,19.98,20.86,-273.15,-0.07,0.96,0
3.0,19.68,20.86,-12.20,-0.08,1.00,0
