T+,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
-51.4,19.07,19.98,13.7,-0.0,0.93,0
-51.3,19.38,19.38,13.7,-0.01,1.01,0
-51.2,19.07,19.07,13.7,-0.0,1.01,0
-51.2,19.38,19.07,13.7,0.01,1.01,0
-51.1,19.38,19.38,13.7,0.01,1.01,0
-51.0,19.38,19.38,13.7,0.0,1.01,0
-50.9,19.38,19.38,14.07,-0.01,1.01,0
-50.8,19.07,19.07,13.7,-0.02,1.01,0
-50.7,19.38,19.38,13.7,-0.02,1.01,0
-50.6,19.07,19.07,14.07,-0.02,1.01,0
-50.5,19.07,19.07,13.7,-0.02,1.01,0
-50.4,19.07,19.07,14.07,-0.02,1.01,0
-50.3,19.38,19.07,14.07,-0.03,1.01,0
-50.2,19.38,19.68,13.7,-0.02,1.01,0
-50.1,19.07,19.07,14.07,-0.02,1.01,0
-50.1,19.38,19.07,13.33,-0.01,1.01,0
-50.0,18.76,19.07,13.7,-0.01,1.01,0
-49.9,19.07,19.07,13.7,-0.02,0.93,0
-49.8,19.07,18.45,13.33,-0.02,0.93,0
-49.7,19.38,19.07,14.07,-0.02,1.01,0
-49.6,19.38,19.07,13.7,-0.02,1.01,0
-49.5,19.38,18.76,14.07,-0.01,1.01,0
-49.4,19.38,19.38,13.7,0.0,1.01,0
-49.3,19.98,19.07,14.07,0.01,1.01,0
-49.2,19.38,19.07,14.07,0.02,1.01,0
-49.1,19.38,19.07,13.7,0.01,1.01,0
-49.0,19.07,19.07,13.7,-0.01,1.01,0
-49.0,19.07,19.07,13.7,-0.02,1.01,0
-48.9,19.38,19.07,13.33,-0.03,1.01,0
-48.8,19.07,19.38,13.7,-0.03,0.93,0
-48.7,19.38,19.07,13.7,-0.03,1.01,0
-48.6,19.38,19.38,13.33,-0.03,1.01,0
-48.5,19.07,19.07,13.7,-0.03,1.01,0
-48.4,19.07,19.07,13.7,-0.04,1.01,0
-48.3,19.38,19.07,14.07,-0.03,1.01,0
-48.2,19.38,19.07,13.7,-0.03,1.01,0
-48.1,19.38,19.07,13.7,-0.01,1.01,0
-48.0,19.07,19.38,14.07,0.0,1.01,0
-47.9,19.38,19.07,14.07,-0.0,1.01,0
-47.8,19.38,18.76,14.07,-0.01,1.01,0
-47.8,19.38,18.76,13.7,-0.02,1.01,0
-47.7,19.38,19.07,13.7,-0.02,1.01,0
-47.6,19.38,19.07,13.33,-0.02,0.93,0
-47.5,19.07,19.38,13.7,-0.03,1.01,0
-47.4,19.38,18.76,13.7,-0.03,1.01,0
-47.3,19.07,19.07,13.7,-0.04,1.01,0
-47.2,19.38,18.76,13.33,-0.04,1.01,0
-47.1,19.38,18.14,13.33,-0.03,1.01,0
-47.0,19.07,18.76,13.7,-0.03,1.01,0
-46.9,19.38,19.07,13.7,-0.02,0.93,0
-46.8,19.38,19.07,14.07,-0.02,0.93,0
-46.7,19.38,19.38,14.07,-0.02,1.01,0
-46.6,18.76,18.76,13.7,-0.02,1.01,0
-46.6,19.38,19.07,14.07,-0.02,1.01,0
-46.5,19.38,19.07,13.7,-0.03,1.01,0
-46.4,19.38,19.07,13.7,-0.03,1.01,0
-46.3,19.38,19.07,13.7,-0.02,1.01,0
-46.2,19.07,18.45,14.07,-0.02,1.01,0
