T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
0.0,19.07,19.98,13.70,-0.00,0.50,0
0.1,19.38,19.38,13.70,-0.01,0.51,0
0.2,19.07,19.07,13.70,-0.00,0.51,0
0.2,19.38,19.07,13.70,0.01,0.51,0
0.3,19.38,19.38,13.70,0.01,0.51,0
0.4,19.38,19.38,13.70,0.00,0.51,0
0.5,19.38,19.38,14.07,-0.01,0.51,0
0.6,19.07,19.07,13.70,-0.02,0.51,0
0.7,19.38,19.38,13.70,-0.02,0.51,0
0.8,19.07,19.07,14.07,-0.02,0.51,0
0.9,19.07,19.07,13.70,-0.02,0.51,0
1.0,19.07,19.07,14.07,-0.02,0.51,0
1.1,19.38,19.07,14.07,-0.03,0.51,0
1.2,19.38,19.68,13.70,-0.02,0.51,0
1.3,19.07,19.07,14.07,-0.02,0.51,0
1.3,19.38,19.07,13.33,-0.01,0.51,0
1.4,18.76,19.07,13.70,-0.01,0.51,0
1.5,19.07,19.07,13.70,-0.02,0.50,0
1.6,19.07,18.45,13.33,-0.02,0.50,0
1.7,19.38,19.07,14.07,-0.02,0.51,0
1.8,19.38,19.07,13.70,-0.02,0.51,0
1.9,19.38,18.76,14.07,-0.01,0.51,0
2.0,19.38,19.38,13.70,0.00,0.51,0
2.1,19.98,19.07,14.07,0.01,0.51,0
2.2,19.38,19.07,14.07,0.02,0.51,0
2.3,19.38,19.07,13.70,0.01,0.51,0
2.4,19.07,19.07,13.70,-0.01,0.51,0
2.4,19.07,19.07,13.70,-0.02,0.51,0
2.5,19.38,19.07,13.33,-0.03,0.51,0
2.6,19.07,19.38,13.70,-0.03,0.50,0
2.7,19.38,19.07,13.70,-0.03,0.51,0
2.8,19.38,19.38,13.33,-0.03,0.51,0
2.9,19.07,19.07,13.70,-0.03,0.51,0
3.0,19.07,19.07,13.70,-0.04,0.51,0
3.1,19.38,19.07,14.07,-0.03,0.51,0
3.2,19.38,19.07,13.70,-0.03,0.51,0
3.3,19.38,19.07,13.70,-0.01,0.51,0
3.4,19.07,19.38,14.07,0.00,0.51,0
3.5,19.38,19.07,14.07,-0.00,0.51,0
3.6,19.38,18.76,14.07,-0.01,0.51,0
3.6,19.38,18.76,13.70,-0.02,0.51,0
3.7,19.38,19.07,13.70,-0.02,0.51,0
3.8,19.38,19.07,13.33,-0.02,0.50,0
3.9,19.07,19.38,13.70,-0.03,0.51,0
4.0,19.38,18.76,13.70,-0.03,0.51,0
4.1,19.07,19.07,13.70,-0.04,0.51,0
4.2,19.38,18.76,13.33,-0.04,0.51,0
4.3,19.38,18.14,13.33,-0.03,0.51,0
4.4,19.07,18.76,13.70,-0.03,0.51,0
4.5,19.38,19.07,13.70,-0.02,0.50,0
4.6,19.38,19.07,14.07,-0.02,0.50,0
4.7,19.38,19.38,14.07,-0.02,0.51,0
4.8,18.76,18.76,13.70,-0.02,0.51,0
4.8,19.38,19.07,14.07,-0.02,0.51,0
4.9,19.38,19.07,13.70,-0.03,0.51,0
5.0,19.38,19.07,13.70,-0.03,0.51,0
5.1,19.38,19.07,13.70,-0.02,0.51,0
5.2,19.07,18.45,14.07,-0.02,0.51,0
5.3,19.38,18.76,13.70,-0.02,0.51,0
5.4,19.38,18.76,13.33,-0.02,0.51,0
5.5,19.38,19.07,13.70,-0.03,0.51,0
5.6,19.07,18.76,13.33,-0.02,0.51,0
5.7,19.07,19.07,13.70,-0.02,0.51,0
5.8,19.38,19.07,13.70,-0.02,0.51,0
5.9,19.38,19.07,14.43,-0.01,0.51,0
6.0,19.38,19.07,13.33,-0.02,0.51,0
6.0,19.38,19.07,13.33,-0.02,0.51,0
6.1,19.38,18.76,13.33,-0.01,0.51,0
6.2,19.38,19.07,13.33,-0.01,0.51,0
6.3,19.38,18.76,13.70,-0.01,0.51,0
6.4,19.38,19.38,13.70,-0.01,0.52,0
6.5,19.07,19.07,14.07,-0.01,0.51,0
6.6,19.38,19.07,13.33,-0.00,0.51,0
6.7,18.76,18.76,13.70,-0.00,0.51,0
6.8,19.38,19.07,13.70,-0.00,0.51,0
6.9,19.07,18.76,13.33,-0.00,0.51,0
7.0,19.07,18.76,14.07,-0.00,0.51,0
7.1,19.07,18.76,13.33,0.00,0.51,0
7.1,19.07,18.76,13.70,0.01,0.51,0
7.2,19.38,19.07,14.07,0.00,0.51,0
7.3,19.07,19.07,13.33,0.01,0.50,0
7.4,19.07,19.07,13.33,0.01,0.51,0
7.5,19.38,18.76,13.33,0.01,0.51,0
7.6,19.07,19.07,13.70,0.01,0.51,0
7.7,19.38,18.76,13.70,0.01,0.50,0
7.8,19.07,18.76,14.07,0.01,0.51,0
7.9,19.07,19.07,13.33,0.01,0.51,0
8.0,19.07,19.07,14.07,0.01,0.51,0
8.1,19.38,19.07,13.33,0.01,0.51,0
8.2,19.38,19.07,13.70,0.02,0.51,0
8.3,19.38,18.76,13.33,0.02,0.51,0
8.3,19.38,19.38,13.33,0.02,0.51,0
8.4,19.07,18.45,13.33,0.01,0.51,0
8.5,19.38,19.07,13.70,0.01,0.50,0
8.6,19.38,19.07,13.70,0.01,0.51,0
8.7,19.07,18.76,13.70,0.01,0.51,0
8.8,18.45,19.07,13.70,0.01,0.51,0
8.9,19.38,19.07,13.70,-0.01,0.51,0
9.0,19.38,18.76,13.33,-0.01,0.51,0
9.1,18.76,18.76,13.33,-0.01,0.51,0
9.2,19.38,18.76,13.33,-0.02,0.51,0
9.3,19.07,19.07,13.70,-0.01,0.51,0
9.4,19.38,19.07,13.70,-0.01,0.51,0
9.5,19.07,19.07,13.70,-0.01,0.51,0
9.5,19.38,18.76,13.33,-0.01,0.50,0
9.6,19.38,19.38,13.33,-0.01,0.51,0
9.7,19.38,18.76,12.95,-0.00,0.51,0
9.8,19.38,18.76,13.33,0.00,0.51,0
9.9,19.38,19.07,12.95,0.01,0.51,0
10.0,19.38,19.07,13.70,0.00,0.51,0
10.1,19.38,19.07,12.95,-0.00,0.51,0
10.2,19.38,19.07,13.70,-0.00,0.51,0
10.3,19.07,18.76,13.33,-0.00,0.51,0
10.4,19.38,18.45,13.70,-0.00,0.51,0
10.5,19.07,19.07,13.70,0.00,0.51,0
10.6,18.76,19.07,13.70,0.00,0.51,0
10.7,19.07,18.45,13.70,-0.00,0.51,0
10.7,19.68,19.07,13.70,-0.00,0.51,0
10.8,19.38,19.07,13.33,0.00,0.51,0
10.9,19.38,18.76,13.70,-0.00,0.51,0
11.0,19.38,18.76,14.07,-0.00,0.51,0
11.1,19.07,19.07,13.33,-0.00,0.51,0
11.2,19.38,19.07,13.70,0.00,0.50,0
11.3,19.38,18.76,13.70,-0.00,0.51,0
11.4,19.07,19.07,13.70,-0.01,0.51,0
11.5,19.68,18.76,13.33,-0.01,0.51,0
11.6,19.38,18.45,13.33,-0.01,0.51,0
11.7,19.68,19.07,13.70,-0.01,0.51,0
11.8,19.38,18.76,13.33,-0.01,0.51,0
11.9,19.38,18.45,13.70,-0.01,0.51,0
11.9,19.38,18.76,13.33,-0.00,0.51,0
12.0,19.07,19.07,13.70,-0.00,0.51,0
12.1,19.38,18.76,13.33,0.00,0.51,0
12.2,19.68,19.07,13.33,-0.00,0.51,0
12.3,19.38,18.76,13.33,-0.00,0.50,0
12.4,19.38,18.76,13.70,-0.01,0.51,0
12.5,19.38,19.38,13.33,-0.02,0.51,0
12.6,19.38,19.07,13.33,-0.02,0.51,0
12.7,19.38,18.76,13.70,-0.02,0.51,0
12.8,19.38,19.38,13.33,-0.02,0.51,0
12.9,19.38,19.07,13.70,-0.03,0.51,0
13.0,19.07,19.07,13.70,-0.04,0.51,0
13.1,19.38,19.07,13.33,-0.03,0.51,0
13.1,19.38,19.07,13.33,-0.03,0.51,0
13.2,19.38,19.07,13.33,-0.02,0.51,0
13.3,19.38,19.07,13.70,-0.02,0.51,0
13.4,19.38,18.45,12.95,-0.03,0.51,0
13.5,19.07,19.07,13.70,-0.03,0.51,0
13.6,19.38,19.07,13.33,-0.03,0.51,0
13.7,19.38,19.07,13.70,-0.02,0.51,0
13.8,19.38,19.07,13.70,-0.02,0.51,0
13.9,19.38,19.07,13.33,-0.02,0.51,0
14.0,19.38,18.76,13.70,-0.03,0.50,0
14.1,19.38,19.07,13.33,-0.02,0.51,0
14.2,19.38,18.76,13.33,-0.02,0.51,0
14.2,19.38,18.45,13.70,-0.02,0.51,0
14.3,19.07,19.38,13.33,-0.01,0.51,0
14.4,19.38,19.07,13.70,-0.02,0.51,0
14.5,19.38,19.07,13.33,-0.03,0.51,0
14.6,19.38,19.07,13.33,-0.02,0.51,0
14.7,19.38,18.76,13.70,-0.01,0.51,0
14.8,19.38,18.76,13.70,-0.02,0.51,0
14.9,19.38,19.07,13.70,-0.02,0.51,0
15.0,19.07,18.76,13.70,-0.02,0.51,0
15.1,19.38,18.76,14.07,-0.02,0.50,0
15.2,18.76,19.07,13.70,-0.02,0.51,0
15.3,19.68,19.07,13.70,-0.03,0.51,0
15.3,19.38,19.07,13.33,-0.02,0.51,0
15.4,19.38,18.76,13.33,-0.02,0.51,0
15.5,19.07,18.76,13.70,-0.02,0.51,0
15.6,19.38,19.07,13.70,-0.02,0.51,0
15.7,19.38,18.76,13.33,-0.02,0.51,0
15.8,19.38,18.45,13.70,-0.02,0.51,0
15.9,19.07,19.07,13.70,-0.02,0.51,0
16.0,19.38,18.76,13.33,-0.02,0.51,0
16.1,19.38,19.68,13.70,-0.02,0.51,0
16.2,19.38,18.76,12.95,-0.01,0.51,0
16.3,19.38,18.76,13.33,-0.01,0.51,0
16.4,19.38,19.07,13.33,-0.01,0.51,0
16.5,19.38,19.07,13.33,-0.01,0.51,0
16.5,19.38,19.07,13.70,-0.01,0.51,0
16.6,19.07,18.76,13.33,-0.01,0.51,0
16.7,19.38,19.38,13.70,-0.01,0.51,0
16.8,19.38,18.76,13.33,-0.01,0.51,0
16.9,19.07,18.76,14.43,-0.01,0.51,0
17.0,19.38,18.76,12.95,-0.01,0.51,0
17.1,19.38,18.76,12.95,-0.01,0.51,0
17.2,19.68,18.76,13.33,-0.01,0.51,0
17.3,19.38,19.07,13.33,-0.01,0.51,0
17.4,19.68,19.07,13.70,-0.01,0.50,0
17.5,19.38,19.07,13.70,-0.01,0.51,0
17.6,19.07,19.38,13.70,-0.01,0.50,0
17.7,19.07,18.76,13.70,-0.01,0.51,0
17.7,19.38,19.07,14.43,-0.01,0.51,0
17.8,19.07,19.07,13.70,-0.01,0.51,0
17.9,19.38,18.76,13.70,-0.01,0.51,0
18.0,19.68,18.76,13.70,-0.01,0.51,0
18.1,19.38,18.76,13.33,-0.00,0.51,0
18.2,19.38,19.07,13.70,-0.01,0.51,0
18.3,19.38,19.68,13.33,-0.01,0.51,0
18.4,19.68,19.07,13.70,-0.01,0.51,0
18.5,19.07,19.07,13.33,-0.01,0.51,0
18.6,19.38,18.76,13.33,-0.01,0.51,0
18.7,19.07,19.38,14.07,-0.01,0.51,0
18.8,19.38,19.07,13.33,-0.01,0.51,0
18.9,19.07,19.38,13.33,-0.01,0.51,0
18.9,19.38,19.07,13.33,-0.01,0.51,0
19.0,19.07,19.07,12.95,-0.01,0.51,0
19.1,19.38,19.38,13.70,-0.01,0.51,0
19.2,19.38,19.07,13.33,-0.01,0.51,0
19.3,19.98,19.07,13.33,-0.01,0.51,0
19.4,19.38,19.07,13.33,-0.01,0.51,0
19.5,19.68,19.38,13.33,-0.00,0.51,0
19.6,19.68,19.07,13.70,-0.01,0.51,0
19.7,19.38,19.07,13.70,-0.00,0.51,0
19.8,18.76,19.07,13.70,-0.00,0.51,0
19.9,19.38,18.76,13.70,-0.01,0.51,0
20.0,19.38,19.38,13.70,-0.00,0.51,0
20.1,19.38,19.07,13.70,-0.01,0.51,0
20.1,19.68,19.07,14.43,-0.00,0.51,0
20.2,19.38,19.38,13.70,-0.00,0.51,0
20.3,19.38,19.07,13.70,0.00,0.51,0
20.4,19.07,19.07,13.70,-0.00,0.51,0
20.5,19.38,19.38,13.33,-0.00,0.51,0
20.6,19.38,19.07,12.95,-0.00,0.51,0
20.7,19.98,19.07,14.07,-0.01,0.51,0
20.8,19.38,19.38,13.33,-0.01,0.51,0
20.9,19.07,19.07,13.70,-0.01,0.51,0
21.0,19.38,19.07,13.70,-0.00,0.51,0
