T+,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
-3.0,19.07,19.38,13.7,0.1,1.01,0
-2.9,19.07,18.76,13.7,0.11,1.01,0
-2.8,19.38,19.07,13.33,0.12,1.01,0
-2.7,19.07,19.38,13.33,0.17,1.01,0
-2.6,19.38,19.07,13.7,0.25,1.01,0
-2.5,19.07,19.38,13.7,0.34,1.01,0
-2.4,19.07,19.38,14.07,0.36,1.01,0
-2.3,19.07,19.07,14.07,0.25,1.01,0
-2.2,19.07,19.38,13.7,0.22,1.01,0
-2.1,18.76,19.07,13.7,0.16,1.01,0
-2.1,19.07,18.76,14.07,0.14,1.01,0
-2.0,19.07,19.38,14.43,0.14,1.01,0
-1.9,19.07,18.76,14.07,0.14,0.93,0
-1.8,19.38,19.68,13.7,0.13,1.01,0
-1.7,19.07,19.68,13.7,0.14,1.01,0
-1.6,18.76,19.38,14.07,0.15,1.01,0
-1.5,19.07,19.07,13.7,0.16,1.01,0
-1.4,19.07,19.38,14.43,0.16,1.01,0
-1.3,18.76,19.07,14.43,0.16,1.01,0
-1.2,19.38,19.07,13.7,0.16,1.01,0
-1.1,19.07,19.07,14.79,0.17,1.01,0
-1.0,19.68,19.07,14.43,0.17,1.01,0
-0.9,19.38,19.07,14.07,0.17,1.01,0
-0.9,19.38,19.07,13.7,0.17,1.01,0
-0.8,19.07,19.07,14.43,0.17,1.01,0
-0.7,19.07,19.07,14.43,0.17,0.93,0
-0.6,19.38,19.68,13.7,0.18,0.93,0
-0.5,19.38,19.38,14.07,0.18,0.93,0
-0.4,19.38,19.68,13.7,0.19,1.01,0
-0.3,19.07,18.76,14.07,0.19,1.01,0
-0.2,19.07,19.38,14.07,0.2,1.01,0
-0.1,19.68,18.76,14.07,0.21,1.01,0
0.0,19.38,19.07,13.7,0.22,1.01,1
0.1,19.38,19.07,14.43,0.17,1.45,1
0.2,19.68,19.07,14.43,-0.38,3.82,1
0.2,19.38,19.07,17.17,-0.45,5.73,1
0.3,19.38,19.38,23.1,0.99,6.18,1
0.4,19.68,19.68,34.77,4.04,6.18,1
0.5,19.38,19.98,50.35,6.52,6.29,1
0.6,19.98,19.07,66.21,7.55,6.53,1
0.7,19.68,19.07,83.01,8.12,6.64,1
0.8,19.68,19.38,100.91,8.63,6.53,1
0.9,19.98,19.38,114.51,9.16,6.53,1
1.0,19.68,19.38,128.09,9.39,6.76,1
1.1,19.68,19.38,140.8,9.4,6.53,1
1.2,19.98,19.07,153.58,9.49,6.64,1
1.3,19.98,19.07,165.98,9.65,6.64,1
1.4,19.98,18.76,177.14,9.81,6.29,1
1.4,20.28,19.07,189.32,10.04,6.29,1
1.5,20.28,19.07,201.59,10.16,6.41,1
1.6,20.57,19.07,216.47,10.17,6.64,1
