T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
0.0,27.66,32.95,33.97,-0.33,0.50,0
0.1,27.89,32.95,34.17,-0.35,0.49,0
0.2,27.66,32.95,33.77,-0.34,0.49,0
0.2,28.13,32.95,33.97,-0.34,0.49,0
0.3,27.66,32.95,33.97,-0.36,0.49,0
0.4,27.89,32.95,34.57,-0.37,0.49,0
0.5,27.66,32.75,34.57,-0.39,0.49,0
0.6,27.89,32.75,33.77,-0.39,0.50,0
0.7,27.89,32.95,33.97,-0.37,0.50,0
0.8,27.66,32.95,34.37,-0.35,0.49,0
0.8,27.42,32.75,33.97,-0.35,0.50,0
0.9,27.66,32.95,33.97,-0.36,0.49,0
1.0,27.66,32.95,33.77,-0.36,0.49,0
1.1,27.66,32.75,33.97,-0.36,0.50,0
1.2,27.66,33.16,33.97,-0.36,0.49,0
1.3,27.66,32.95,33.97,-0.34,0.49,0
1.4,27.89,32.95,34.17,-0.31,0.50,0
1.5,27.89,32.75,34.17,-0.30,0.49,0
1.6,27.66,32.95,34.17,-0.30,0.50,0
1.7,27.89,32.95,33.36,-0.30,0.49,0
1.8,27.89,32.54,34.17,-0.30,0.49,0
1.9,28.13,32.75,34.17,-0.31,0.49,0
1.9,27.66,32.95,34.17,-0.30,0.49,0
2.0,27.89,32.95,34.17,-0.30,0.50,0
2.1,27.66,32.95,34.17,-0.30,0.49,0
2.2,27.66,33.36,33.97,-0.29,0.49,0
2.3,27.89,32.95,34.17,-0.27,0.50,0
2.4,27.42,32.95,34.17,-0.24,0.49,0
2.5,27.89,32.95,34.17,-0.15,0.49,0
2.6,27.89,32.95,34.17,-0.07,0.49,0
2.7,27.66,32.95,34.17,-0.05,0.50,0
2.8,27.66,32.95,34.17,-0.05,0.49,0
2.9,27.66,32.95,34.17,-0.09,0.50,0
3.0,27.89,32.95,34.37,-0.14,0.49,0
3.0,27.42,32.95,34.17,-0.14,0.49,0
3.1,27.66,32.95,34.17,-0.13,0.50,0
3.2,27.89,32.95,34.17,-0.14,0.49,0
3.3,28.36,32.95,34.17,-0.15,0.50,0
3.4,27.89,32.75,34.17,-0.13,0.49,0
3.5,27.89,32.75,34.17,-0.05,0.50,0
3.6,27.66,32.54,34.17,-0.01,0.50,0
3.7,27.89,32.95,34.37,-0.01,0.49,0
3.8,27.66,32.95,34.17,-0.01,0.50,0
3.9,28.13,32.95,34.17,0.02,0.49,0
4.0,27.89,32.75,33.77,0.04,0.49,0
4.1,27.89,32.75,34.37,0.02,0.49,0
4.1,28.13,32.95,34.17,0.01,0.49,0
4.2,27.89,32.95,33.77,0.01,0.50,0
4.3,27.89,32.95,34.37,-0.01,0.49,0
4.4,28.13,32.75,34.17,-0.00,0.49,0
4.5,28.13,32.75,34.57,0.02,0.49,0
4.6,27.89,32.95,34.17,0.02,0.49,0
4.7,27.89,32.95,34.17,0.01,0.50,0
4.8,27.66,32.75,34.37,0.01,0.49,0
4.9,27.89,32.75,33.77,0.02,0.49,0
5.0,27.89,32.95,34.37,0.01,0.50,0
5.1,27.89,32.95,34.37,-0.01,0.49,0
5.2,28.13,32.33,33.97,-0.03,0.50,0
5.2,28.13,32.95,34.97,-0.05,0.49,0
5.3,27.89,32.95,34.57,-0.09,0.50,0
5.4,27.89,32.95,34.37,-0.11,0.49,0
5.5,27.89,32.95,34.37,-0.12,0.49,0
5.6,27.89,32.95,34.57,-0.14,0.49,0
5.7,27.89,32.95,33.97,-0.16,0.49,0
5.8,28.13,32.95,34.37,-0.19,0.50,0
5.9,28.13,32.95,34.37,-0.23,0.49,0
6.0,27.89,32.95,34.37,-0.24,0.49,0
6.1,28.13,32.95,34.57,-0.24,0.49,0
6.2,27.89,32.95,34.37,-0.24,0.49,0
6.3,27.89,32.75,34.97,-0.25,0.50,0
6.4,28.13,32.75,34.57,-0.27,0.50,0
6.4,27.89,33.16,34.17,-0.29,0.49,0
6.5,27.89,32.95,34.77,-0.27,0.49,0
6.6,27.89,32.95,35.16,-0.27,0.49,0
6.7,27.89,32.75,34.57,-0.27,0.50,0
6.8,27.89,32.95,34.57,-0.25,0.49,0
6.9,27.89,32.75,34.57,-0.22,0.50,0
7.0,28.36,32.95,34.17,-0.18,0.49,0
7.1,27.66,32.95,34.37,-0.18,0.49,0
7.2,28.13,32.75,34.57,-0.16,0.49,0
7.3,28.13,32.95,34.57,-0.10,0.49,0
7.4,27.66,32.54,34.57,-0.05,0.49,0
7.4,27.89,32.95,34.57,-0.05,0.49,0
7.5,27.89,32.75,34.57,-0.05,0.49,0
7.6,28.13,32.95,34.57,-0.02,0.49,0
7.7,27.89,32.95,34.77,0.01,0.49,0
7.8,28.13,32.95,34.57,0.05,0.49,0
7.9,28.13,33.36,34.77,0.08,0.49,0
8.0,27.89,32.95,34.77,0.10,0.50,0
8.1,28.36,32.75,34.57,0.11,0.49,0
8.2,28.13,32.95,34.57,0.13,0.49,0
8.3,27.89,32.95,34.77,0.15,0.50,0
8.4,27.89,32.95,34.77,0.17,0.49,0
8.5,28.13,32.95,34.77,0.17,0.50,0
8.6,28.13,32.95,34.77,0.19,0.49,0
8.6,28.13,32.95,34.77,0.20,0.49,0
8.7,28.13,32.95,34.77,0.21,0.50,0
8.8,27.89,32.95,34.77,0.23,0.49,0
8.9,28.36,32.95,35.16,0.25,0.50,0
9.0,28.13,32.95,34.77,0.27,0.49,0
9.1,28.13,32.95,34.97,0.28,0.50,0
9.2,28.13,32.95,34.97,0.29,0.49,0
9.3,28.13,32.95,34.77,0.29,0.49,0
9.4,28.36,32.95,34.77,0.31,0.49,0
9.5,28.36,32.75,34.17,0.33,0.49,0
9.6,28.13,32.95,35.16,0.33,0.49,0
9.7,28.13,32.95,34.77,0.31,0.49,0
9.7,28.13,32.95,34.97,0.31,0.49,0
9.8,28.13,32.95,34.97,0.32,0.49,0
