T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
0.0,23.64,25.46,24.17,-0.00,0.49,0
0.1,24.43,24.69,24.43,-0.01,0.49,0
0.2,24.17,24.17,25.20,-0.00,0.49,0
0.2,24.17,24.95,24.43,-0.00,0.49,0
0.3,24.17,25.20,24.43,-0.00,0.49,0
0.4,24.17,25.71,24.17,-0.00,0.49,0
0.5,24.17,25.71,24.43,-0.01,0.50,0
0.6,23.91,25.71,24.43,-0.01,0.49,0
0.7,23.91,25.71,24.43,-0.01,0.49,0
0.8,23.91,24.69,24.43,-0.00,0.49,0
0.9,24.17,24.95,24.43,-0.01,0.49,0
1.0,24.17,24.95,24.17,-0.01,0.49,0
1.1,24.17,25.20,24.17,-0.01,0.49,0
1.2,24.17,25.20,24.17,-0.01,0.49,0
1.3,24.43,25.46,23.10,-0.00,0.49,0
1.4,23.37,25.46,21.44,0.00,0.49,0
1.4,24.43,24.69,24.17,-0.01,0.49,0
1.5,23.91,25.20,24.43,-0.01,0.49,0
1.6,23.91,24.69,26.20,-0.02,0.49,0
1.7,23.91,24.69,23.91,-0.01,0.49,0
1.8,24.95,25.20,23.91,-0.00,0.49,0
1.9,23.91,24.69,25.96,0.00,0.49,0
2.0,24.17,25.20,24.17,-0.00,0.49,0
2.1,24.17,24.69,24.17,-0.01,0.49,0
2.2,24.17,24.69,24.17,-0.00,0.49,0
2.3,23.37,25.71,23.91,-0.02,0.49,0
2.4,24.17,25.20,24.43,-0.01,0.49,0
2.5,23.91,24.95,24.43,-0.00,0.49,0
2.5,23.91,25.20,24.43,-0.01,0.49,0
2.6,24.17,24.43,24.17,-0.01,0.49,0
2.7,24.17,24.17,25.20,-0.02,0.49,0
2.8,23.91,24.69,24.17,-0.01,0.49,0
2.9,23.91,25.20,24.17,0.00,0.49,0
3.0,24.17,24.95,24.43,0.00,0.49,0
3.1,23.64,25.20,24.43,-0.01,0.49,0
3.2,24.17,24.69,24.17,-0.01,0.49,0
3.3,23.64,25.20,24.69,-0.01,0.49,0
3.4,23.64,24.95,24.69,-0.01,0.48,0
3.5,24.43,25.46,26.20,-0.01,0.49,0
3.6,24.17,24.69,24.17,-0.01,0.49,0
3.6,23.91,24.95,23.64,-0.01,0.49,0
3.7,24.17,23.91,25.71,-0.01,0.49,0
3.8,24.17,24.95,23.91,-0.01,0.49,0
3.9,25.20,24.69,24.17,-0.00,0.49,0
4.0,24.17,24.69,24.43,-0.01,0.49,0
4.1,24.17,24.69,24.69,-0.01,0.49,0
4.2,24.43,24.69,23.37,-0.01,0.49,0
4.3,24.17,25.46,25.96,-0.00,0.49,0
4.4,24.17,24.43,22.56,-0.01,0.49,0
4.5,24.17,24.17,24.43,-0.02,0.49,0
4.6,24.17,24.43,21.72,-0.01,0.49,0
4.7,24.17,25.20,22.83,-0.01,0.49,0
4.8,23.64,24.17,24.43,-0.01,0.49,0
4.8,24.17,24.69,24.43,-0.00,0.49,0
4.9,23.64,24.95,24.17,0.00,0.49,0
5.0,23.91,25.20,24.43,-0.01,0.49,0
5.1,23.91,24.69,24.43,-0.01,0.49,0
5.2,23.91,24.95,24.17,0.00,0.49,0
5.3,23.91,25.20,24.95,-0.00,0.49,0
5.4,24.17,25.20,24.17,-0.00,0.49,0
5.5,24.95,24.17,24.43,-0.01,0.49,0
5.6,24.17,24.69,25.46,-0.01,0.49,0
5.7,24.17,25.71,24.17,-0.01,0.49,0
5.8,24.17,25.20,24.43,-0.01,0.49,0
5.9,24.17,23.64,22.83,-0.01,0.49,0
5.9,24.17,24.43,24.17,0.01,0.49,0
6.0,24.69,25.71,24.43,0.00,0.49,0
6.1,24.17,24.95,24.43,-0.00,0.49,0
6.2,24.43,24.69,25.71,-0.01,0.49,0
6.3,23.91,24.43,22.28,-0.00,0.49,0
6.4,24.17,24.69,24.17,-0.00,0.49,0
6.5,23.37,26.45,25.46,-0.01,0.49,0
6.6,24.17,24.95,24.17,-0.00,0.49,0
6.7,23.91,24.69,26.20,-0.01,0.49,0
6.8,24.17,24.43,22.83,-0.02,0.49,0
6.9,24.17,25.20,23.91,-0.01,0.49,0
7.0,24.17,24.43,24.17,-0.01,0.49,0
7.1,23.37,25.71,24.95,-0.01,0.49,0
7.1,23.91,23.64,24.43,-0.01,0.49,0
7.2,24.69,24.69,24.43,-0.01,0.49,0
7.3,24.17,24.17,23.91,-0.01,0.50,0
7.4,24.17,24.95,23.37,-0.01,0.49,0
7.5,24.17,24.69,23.91,-0.00,0.49,0
7.6,23.64,24.69,24.17,-0.00,0.49,0
7.7,24.17,25.46,24.17,-0.01,0.49,0
7.8,23.91,24.17,21.72,-0.01,0.49,0
7.9,24.17,24.17,23.64,0.00,0.49,0
8.0,24.17,24.95,24.43,0.00,0.49,0
8.1,23.10,24.69,24.43,-0.01,0.49,0
8.2,24.69,24.69,24.17,-0.01,0.49,0
8.2,24.43,24.43,24.43,-0.01,0.49,0
8.3,24.17,23.91,24.17,-0.00,0.49,0
8.4,24.17,24.43,23.10,-0.00,0.49,0
8.5,24.17,24.95,23.91,-0.00,0.49,0
8.6,24.17,24.43,24.43,-0.00,0.49,0
8.7,23.91,24.43,24.43,-0.01,0.49,0
8.8,24.95,24.69,22.56,-0.01,0.49,0
8.9,24.17,25.46,24.43,-0.00,0.49,0
9.0,24.43,25.20,24.69,-0.01,0.49,0
9.1,25.46,24.69,25.96,-0.01,0.49,0
9.2,23.91,24.69,24.17,-0.01,0.49,0
9.3,23.91,24.43,23.91,-0.01,0.49,0
9.3,24.17,25.20,24.43,-0.01,0.49,0
9.4,24.43,24.69,24.43,-0.01,0.49,0
9.5,23.64,23.37,24.69,-0.00,0.49,0
9.6,24.69,26.70,24.43,-0.00,0.49,0
9.7,24.17,24.95,25.20,-0.01,0.49,0
9.8,23.64,24.95,24.43,-0.02,0.49,0
9.9,24.17,24.69,24.43,-0.01,0.49,0
10.0,24.17,24.69,24.43,-0.01,0.49,0
10.1,24.43,24.17,23.91,-0.01,0.49,0
10.2,23.91,24.69,24.43,-0.01,0.49,0
10.3,23.91,25.71,24.17,-0.02,0.49,0
10.4,23.91,25.71,24.43,-0.01,0.49,0
10.5,24.17,24.95,23.37,-0.00,0.49,0
10.5,24.17,24.69,24.43,-0.01,0.49,0
10.6,24.17,24.95,24.43,-0.00,0.49,0
10.7,24.17,23.10,24.69,-0.00,0.49,0
10.8,24.17,25.46,24.17,-0.00,0.49,0
10.9,23.64,23.64,24.43,-0.00,0.49,0
11.0,24.17,24.69,24.43,-0.01,0.49,0
11.1,23.64,24.69,24.69,-0.03,0.49,0
11.2,24.17,25.71,24.43,-0.02,0.49,0
11.3,24.17,24.69,22.56,-0.02,0.49,0
11.4,24.17,24.43,22.83,-0.01,0.49,0
11.5,23.91,25.46,24.69,-0.01,0.49,0
11.6,24.17,24.69,24.95,-0.01,0.49,0
11.7,23.64,26.70,26.45,-0.01,0.49,0
11.7,24.69,24.69,23.64,-0.01,0.49,0
11.8,24.43,24.17,25.20,-0.01,0.49,0
11.9,24.43,23.64,24.17,-0.01,0.49,0
12.0,23.64,24.69,24.43,-0.01,0.49,0
12.1,24.17,25.46,24.43,-0.01,0.49,0
12.2,24.17,24.95,24.17,-0.01,0.49,0
12.3,24.95,25.20,24.43,-0.00,0.49,0
12.4,24.43,24.69,24.43,-0.00,0.49,0
12.5,23.91,24.69,24.43,-0.01,0.49,0
12.6,23.64,22.83,26.45,-0.01,0.49,0
12.7,24.95,24.69,24.69,-0.00,0.48,0
12.7,23.64,24.69,24.95,-0.01,0.49,0
12.8,24.43,25.20,24.43,-0.01,0.49,0
12.9,25.20,25.96,24.43,-0.01,0.49,0
13.0,23.91,24.43,25.46,0.00,0.49,0
13.1,23.64,24.17,24.43,-0.01,0.49,0
13.2,24.17,24.69,24.43,-0.02,0.49,0
13.3,24.17,24.95,23.91,-0.01,0.49,0
13.4,24.17,23.91,24.69,-0.01,0.49,0
13.5,24.43,24.69,24.17,-0.01,0.49,0
13.6,24.17,24.69,24.43,-0.02,0.49,0
13.7,23.91,24.69,23.91,-0.01,0.49,0
13.8,23.64,25.71,25.20,-0.01,0.49,0
13.9,24.17,24.69,24.43,-0.02,0.49,0
13.9,23.91,24.95,23.91,-0.01,0.49,0
14.0,24.17,24.43,24.17,-0.00,0.49,0
14.1,24.17,24.95,24.43,-0.00,0.49,0
14.2,23.91,24.95,24.17,-0.01,0.49,0
14.3,25.20,24.69,24.43,-0.01,0.49,0
14.4,24.43,23.91,24.43,-0.01,0.49,0
14.5,23.91,25.71,25.71,-0.02,0.49,0
14.6,24.17,24.69,24.43,-0.03,0.49,0
14.7,24.17,24.95,24.43,-0.02,0.49,0
14.8,24.17,24.69,24.43,-0.00,0.49,0
14.9,24.17,24.95,24.69,-0.01,0.49,0
15.0,24.17,24.69,24.43,-0.01,0.49,0
15.0,23.64,24.69,25.96,-0.01,0.49,0
15.1,24.43,24.43,24.43,-0.01,0.49,0
15.2,24.17,24.95,23.91,-0.01,0.49,0
15.3,24.17,24.95,24.69,-0.01,0.49,0
15.4,24.43,24.95,25.20,-0.01,0.49,0
15.5,24.17,24.95,24.43,-0.01,0.49,0
15.6,24.69,24.69,24.17,-0.01,0.49,0
15.7,23.91,24.95,24.69,-0.01,0.50,0
15.8,24.43,24.95,22.83,-0.01,0.49,0
15.9,24.95,25.46,24.17,-0.01,0.49,0
16.0,24.95,24.69,24.17,-0.01,0.49,0
16.1,25.20,25.71,24.69,-0.01,0.49,0
16.1,23.64,25.20,24.17,-0.01,0.49,0
16.2,24.17,24.69,23.37,-0.01,0.49,0
16.3,24.17,24.95,23.91,-0.02,0.49,0
16.4,24.17,24.69,24.17,-0.01,0.49,0
16.5,23.64,24.69,24.69,-0.01,0.49,0
16.6,23.91,24.95,23.64,-0.02,0.49,0
16.7,23.91,24.69,24.43,-0.01,0.49,0
16.8,24.17,24.69,24.43,-0.01,0.49,0
16.9,24.69,25.46,24.43,-0.02,0.49,0
17.0,24.43,24.95,24.17,-0.00,0.49,0
17.1,24.17,25.20,24.43,-0.00,0.49,0
17.2,23.37,25.20,24.43,-0.01,0.49,0
17.3,24.43,24.69,27.18,-0.01,0.49,0
17.3,23.91,24.69,24.43,-0.02,0.49,0
17.4,24.43,24.17,24.43,-0.02,0.49,0
17.5,23.91,24.95,24.43,-0.02,0.49,0
17.6,24.17,25.20,24.95,-0.01,0.49,0
17.7,24.43,25.71,24.17,-0.01,0.49,0
17.8,24.43,25.46,24.69,-0.01,0.49,0
17.9,23.64,24.43,24.17,-0.01,0.50,0
18.0,24.17,26.20,24.17,-0.00,0.50,0
18.1,24.43,25.20,24.43,0.00,0.49,0
18.2,24.17,25.20,24.43,-0.01,0.49,0
18.3,24.43,25.46,24.17,-0.01,0.49,0
18.4,24.43,24.69,24.43,-0.01,0.49,0
18.4,24.69,25.71,24.17,-0.01,0.49,0
18.5,24.17,26.20,24.69,-0.01,0.49,0
18.6,23.91,25.20,24.17,-0.01,0.49,0
18.7,24.17,24.69,24.43,-0.01,0.49,0
18.8,24.43,25.20,24.69,-0.01,0.50,0
18.9,24.17,24.95,24.69,-0.01,0.49,0
19.0,23.64,24.95,24.43,-0.01,0.49,0
19.1,24.69,25.46,24.43,-0.01,0.49,0
19.2,24.17,24.95,24.43,-0.02,0.49,0
19.3,23.64,25.46,24.17,-0.03,0.49,0
19.4,24.43,25.96,25.71,-0.02,0.49,0
19.5,25.20,24.95,24.69,-0.01,0.49,0
19.5,24.43,25.71,23.91,-0.01,0.49,0
19.6,24.43,25.20,23.37,-0.02,0.49,0
19.7,24.17,24.95,24.95,-0.02,0.49,0
19.8,24.17,25.46,23.64,-0.02,0.49,0
19.9,23.91,24.95,23.37,-0.01,0.49,0
20.0,23.91,24.95,24.69,-0.01,0.49,0
