T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
0.0,30.18,37.45,33.36,-0.08,0.49,0
0.1,30.18,37.26,33.36,-0.05,0.50,0
0.2,30.40,37.08,33.36,-0.09,0.49,0
0.2,30.18,37.08,33.57,-0.09,0.49,0
0.3,30.18,37.26,33.16,-0.08,0.49,0
0.4,30.18,37.08,33.36,-0.10,0.49,0
0.5,29.73,37.26,33.36,-0.13,0.50,0
0.6,30.40,37.08,33.36,-0.09,0.49,0
0.7,30.18,37.26,33.36,-0.05,0.50,0
0.8,30.18,37.26,33.36,-0.02,0.49,0
0.9,30.18,37.26,33.36,-0.05,0.50,0
1.0,30.18,37.08,33.57,-0.07,0.49,0
1.0,29.73,37.08,33.36,-0.08,0.50,0
1.1,30.18,37.26,32.54,-0.07,0.50,0
1.2,30.18,37.26,33.36,-0.09,0.50,0
1.3,30.18,37.08,33.77,-0.10,0.50,0
1.4,30.40,37.26,33.36,-0.09,0.49,0
1.5,30.40,37.45,32.75,-0.12,0.49,0
1.6,30.18,37.26,32.12,-0.11,0.49,0
1.7,30.62,37.08,33.36,-0.12,0.49,0
1.8,30.18,37.26,33.57,-0.11,0.49,0
1.9,30.18,37.26,33.36,-0.11,0.49,0
2.0,30.18,37.08,33.16,-0.15,0.49,0
2.1,30.18,37.08,32.33,-0.11,0.49,0
2.1,30.18,37.26,33.57,-0.06,0.49,0
2.2,30.18,37.26,32.95,-0.08,0.49,0
2.3,30.62,37.45,33.16,-0.12,0.50,0
2.4,30.18,37.26,33.36,-0.14,0.49,0
2.5,30.62,37.26,33.36,-0.13,0.49,0
2.6,30.40,37.26,33.36,-0.11,0.49,0
2.7,30.40,37.26,33.57,-0.10,0.49,0
2.8,30.18,37.26,33.77,-0.10,0.50,0
2.9,30.62,37.08,33.36,-0.08,0.49,0
3.0,30.18,37.26,33.36,-0.09,0.49,0
3.1,30.62,37.26,33.36,-0.10,0.50,0
3.2,30.40,37.26,33.57,-0.01,0.49,0
3.2,30.18,37.26,33.36,-0.03,0.50,0
3.3,29.95,37.26,32.75,-0.08,0.49,0
3.4,30.18,37.26,33.36,-0.10,0.50,0
3.5,30.18,37.08,33.97,-0.10,0.50,0
3.6,30.40,37.26,33.57,-0.08,0.49,0
3.7,29.95,37.26,33.36,-0.06,0.50,0
3.8,30.18,37.63,33.36,-0.05,0.49,0
3.9,30.40,37.26,33.16,-0.07,0.50,0
4.0,30.62,37.26,33.57,-0.10,0.49,0
4.1,30.40,37.08,33.36,-0.13,0.50,0
4.2,30.18,37.45,33.36,-0.11,0.49,0
4.3,30.18,37.26,33.36,-0.07,0.49,0
4.3,30.40,37.08,33.36,-0.08,0.50,0
4.4,30.62,37.26,34.17,-0.09,0.49,0
4.5,30.18,37.26,33.36,-0.07,0.50,0
4.6,30.40,37.26,33.57,-0.11,0.49,0
4.7,30.18,37.26,33.16,-0.13,0.50,0
4.8,30.40,37.26,33.36,-0.11,0.50,0
4.9,30.40,37.26,33.36,-0.11,0.50,0
5.0,30.62,37.26,33.57,-0.09,0.50,0
5.1,30.40,37.26,33.57,-0.08,0.49,0
5.2,30.18,37.26,34.17,-0.11,0.50,0
5.3,30.40,37.26,34.17,-0.09,0.49,1
5.4,29.95,37.26,33.36,-0.11,0.50,0
5.4,30.40,37.26,33.36,-0.10,0.49,0
5.5,30.40,37.08,33.16,-0.06,0.50,0
5.6,30.84,37.63,33.36,-0.07,0.50,0
5.7,30.18,37.63,33.36,-0.09,0.49,1
5.8,30.18,37.26,33.36,-0.12,0.50,0
