T+,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
-30.6,20.57,20.28,-15.78,0.05,1.0,0
-30.5,20.57,20.57,-273.15,0.05,0.96,0
-30.4,20.57,21.15,6.58,0.05,0.96,0
-30.3,20.28,19.38,-18.58,0.05,1.0,0
-30.2,20.57,20.28,-273.15,0.06,0.96,0
-30.1,20.28,20.28,-21.86,0.06,0.96,0
-30.0,20.28,20.28,-5.66,0.06,0.96,0
-30.0,20.28,20.28,-273.15,0.06,0.96,0
-29.9,20.28,19.38,-9.15,0.06,1.0,0
-29.8,20.57,19.98,-273.15,0.07,0.96,0
-29.7,20.28,20.28,-273.15,0.07,0.96,0
-29.6,20.86,21.44,6.58,0.07,0.96,0
-29.5,20.57,20.28,-273.15,0.07,0.96,0
-29.4,20.57,20.57,-10.11,0.08,0.96,0
-29.3,19.98,19.38,9.31,0.07,1.0,0
-29.2,20.28,20.28,-4.87,0.06,1.0,0
-29.1,20.28,20.57,-6.48,0.06,0.96,0
-29.0,19.68,20.28,-28.23,0.06,0.96,0
-28.9,20.57,20.28,-12.2,0.07,0.96,0
-28.9,19.98,19.98,-273.15,0.07,0.96,0
-28.8,19.98,19.07,-273.15,0.07,1.0,0
-28.7,19.98,20.28,-10.11,0.06,1.0,0
-28.6,20.57,20.57,-273.15,0.06,0.96,0
-28.5,20.28,20.28,-1.95,0.06,0.96,0
-28.4,20.57,20.28,-273.15,0.07,1.0,0
-28.3,20.28,20.28,-15.78,0.06,0.96,0
-28.2,21.15,20.86,10.16,0.05,1.0,0
-28.1,19.98,19.98,-273.15,0.06,1.0,0
-28.0,20.28,20.57,-273.15,0.07,1.0,0
-27.9,21.15,20.28,-273.15,0.06,0.96,0
-27.8,20.28,20.86,-273.15,0.06,1.0,0
-27.7,20.57,20.86,7.52,0.06,0.96,0
-27.7,19.98,22.0,-273.15,0.05,1.0,0
-27.6,20.28,20.28,-14.51,0.05,1.04,0
-27.5,20.57,20.28,-273.15,0.05,1.04,0
-27.4,19.68,19.68,-273.15,0.05,0.91,0
-27.3,21.15,20.57,7.52,0.05,0.96,0
-27.2,19.98,19.68,-273.15,0.05,1.0,0
-27.1,20.28,20.28,-14.51,0.05,1.0,0
-27.0,20.57,19.98,-273.15,0.04,0.96,0
-26.9,19.98,19.98,-273.15,0.04,0.96,0
-26.8,20.28,20.57,1.24,0.05,0.91,0
-26.7,21.15,20.28,-273.15,0.05,0.96,0
-26.6,20.28,20.28,-23.75,0.04,0.91,0
-26.5,20.57,20.28,-273.15,0.04,1.0,0
-26.5,20.57,19.68,-273.15,0.03,1.0,0
-26.4,20.86,20.57,7.52,0.03,0.96,0
-26.3,20.28,20.28,-273.15,0.03,0.96,0
-26.2,20.28,20.28,-13.32,0.04,0.96,0
-26.1,19.98,20.28,1.24,0.04,0.96,0
-26.0,20.28,20.28,-15.78,0.03,0.96,0
-25.9,20.86,20.28,-6.48,0.02,1.0,0
-25.8,19.98,19.98,-273.15,0.02,0.96,0
-25.7,20.57,20.28,-273.15,0.03,0.91,0
-25.6,20.57,20.28,-273.15,0.03,0.96,0
-25.5,20.57,20.28,-273.15,0.02,1.0,0
-25.4,20.28,20.28,-20.15,0.02,1.0,0
-25.3,20.57,20.28,-273.15,0.02,0.96,0
-25.3,20.28,20.28,-43.9,0.02,1.0,0
-25.2,19.98,19.98,-15.78,0.02,0.96,0
-25.1,19.98,20.28,-273.15,0.02,0.96,0
-25.0,19.68,20.28,-7.33,0.02,0.96,0
-24.9,20.28,20.28,-273.15,0.02,0.91,0
-24.8,20.28,20.28,-23.75,0.02,1.0,0
-24.7,20.57,20.86,1.24,0.02,1.0,0
-24.6,19.98,21.15,-273.15,0.01,0.96,0
-24.5,19.98,20.28,-13.32,0.02,0.96,0
-24.4,20.28,20.28,-273.15,0.02,1.0,0
-24.3,19.98,19.68,-273.15,0.02,1.0,0
-24.2,19.98,20.28,-12.2,0.01,1.0,0
-24.1,20.57,20.57,-273.15,0.0,1.0,0
-24.1,20.28,20.28,-6.48,0.01,0.96,0
-24.0,20.28,20.28,-273.15,0.01,0.96,0
-23.9,20.57,18.76,-21.86,0.0,0.96,0
-23.8,20.57,20.57,4.58,0.0,1.0,0
-23.7,20.28,19.98,-273.15,0.0,0.96,0
-23.6,20.28,20.28,-20.15,-0.0,0.96,0
-23.5,20.57,20.28,-273.15,-0.0,0.96,0
-23.4,20.57,19.98,-273.15,-0.0,0.96,0
-23.3,20.28,19.68,4.05,-0.01,0.96,0
-23.2,20.57,20.57,-273.15,-0.01,1.0,0
-23.1,20.57,19.98,-14.51,-0.01,1.0,0
-23.0,20.28,20.57,4.58,-0.02,1.0,0
-22.9,20.28,19.98,-273.15,-0.02,0.96,0
-22.9,20.28,19.98,-5.66,-0.02,0.96,0
-22.8,19.98,20.57,-273.15,-0.02,0.96,0
-22.7,20.28,20.28,-20.15,-0.03,0.96,0
-22.6,20.57,20.57,-10.11,-0.03,1.0,0
-22.5,20.28,20.57,-273.15,-0.03,0.96,0
-22.4,19.98,19.68,-11.13,-0.04,0.96,0
-22.3,20.28,20.28,-273.15,-0.04,0.96,0
-22.2,20.28,21.72,-273.15,-0.04,0.96,0
-22.1,20.57,20.57,5.6,-0.03,0.96,0
-22.0,20.57,20.57,-273.15,-0.03,1.0,0
-21.9,20.86,20.86,-9.15,-0.04,1.0,0
-21.8,19.98,20.28,-273.15,-0.04,1.0,0
-21.8,20.28,20.86,-273.15,-0.04,1.0,0
-21.7,20.28,20.57,-12.2,-0.05,0.96,0
-21.6,20.57,21.15,-273.15,-0.05,0.96,0
-21.5,20.57,20.86,-13.32,-0.05,1.0,0
-21.4,19.38,20.28,-273.15,-0.05,1.0,0
-21.3,20.28,20.28,-273.15,-0.06,0.96,0
-21.2,20.57,20.57,6.58,-0.06,1.0,0
-21.1,20.28,18.14,-273.15,-0.06,0.96,0
-21.0,20.28,20.57,-15.78,-0.06,0.96,0
-20.9,20.28,20.28,-273.15,-0.06,0.96,0
-20.8,20.86,19.98,-273.15,-0.07,1.0,0
-20.7,20.57,19.98,3.51,-0.07,0.91,0
-20.7,20.57,19.68,-273.15,-0.07,0.96,0
-20.6,20.28,18.76,-17.13,-0.07,0.96,0
-20.4,20.57,19.98,-273.15,-0.07,0.96,0
-20.4,20.57,20.28,6.09,-0.07,0.96,0
-20.3,20.28,20.28,-20.15,-0.07,0.96,0
-20.2,20.86,19.38,-273.15,-0.07,0.91,0
-20.1,20.57,21.15,-20.15,-0.07,1.0,0
-20.0,20.28,21.72,-273.15,-0.08,0.96,0
-19.9,19.98,20.57,-273.15,-0.08,0.91,0
-19.8,20.57,19.68,6.58,-0.07,0.96,0
-19.7,20.57,20.57,-273.15,-0.07,1.0,0
-19.6,20.28,20.28,-13.32,-0.07,0.96,0
-19.5,20.28,20.57,-1.95,-0.08,0.96,0
-19.5,20.28,20.28,-18.58,-0.08,0.96,0
-19.4,19.38,20.28,-6.48,-0.08,0.96,0
-19.3,20.57,19.98,-273.15,-0.08,1.0,0
-19.2,20.28,19.98,-20.15,-0.08,1.0,0
-19.1,20.28,20.57,-12.2,-0.07,0.96,0
-19.0,20.57,19.38,-273.15,-0.08,1.0,0
-18.9,20.28,20.28,-10.11,-0.09,1.04,0
-18.8,20.28,20.57,-273.15,-0.09,0.96,0
-18.7,20.28,21.72,-28.23,-0.08,0.96,0
-18.6,20.57,20.28,-9.15,-0.08,1.0,0
