T,TEMP1,TEMP2,TEMP3,LOAD,PRESSURE,VALVE
12.6,20.57,20.28,-273.15,0.06,0.96,0
12.7,20.28,20.28,-21.86,0.06,0.96,0
12.8,20.28,20.28,-5.66,0.06,0.96,0
12.8,20.28,20.28,-273.15,0.06,0.96,0
12.9,20.28,19.38,-9.15,0.06,1.00,0
13.0,20.57,19.98,-273.15,0.07,0.96,0
13.1,20.28,20.28,-273.15,0.07,0.96,0
13.2,20.86,21.44,6.58,0.07,0.96,0
13.3,20.57,20.28,-273.15,0.07,0.96,0
13.4,20.57,20.57,-10.11,0.08,0.96,0
13.5,19.98,19.38,9.31,0.07,1.00,0
13.6,20.28,20.28,-4.87,0.06,1.00,0
13.7,20.28,20.57,-6.48,0.06,0.96,0
13.8,19.68,20.28,-28.23,0.06,0.96,0
13.9,20.57,20.28,-12.20,0.07,0.96,0
13.9,19.98,19.98,-273.15,0.07,0.96,0
14.0,19.98,19.07,-273.15,0.07,1.00,0
14.1,19.98,20.28,-10.11,0.06,1.00,0
14.2,20.57,20.57,-273.15,0.06,0.96,0
14.3,20.28,20.28,-1.95,0.06,0.96,0
14.4,20.57,20.28,-273.15,0.07,1.00,0
14.5,20.28,20.28,-15.78,0.06,0.96,0
14.6,21.15,20.86,10.16,0.05,1.00,0
14.7,19.98,19.98,-273.15,0.06,1.00,0
14.8,20.28,20.57,-273.15,0.07,1.00,0
14.9,21.15,20.28,-273.15,0.06,0.96,0
15.0,20.28,20.86,-273.15,0.06,1.00,0
15.1,20.57,20.86,7.52,0.06,0.96,0
15.1,19.98,22.00,-273.15,0.05,1.00,0
15.2,20.28,20.28,-14.51,0.05,1.04,0
15.3,20.57,20.28,-273.15,0.05,1.04,0
15.4,19.68,19.68,-273.15,0.05,0.91,0
15.5,21.15,20.57,7.52,0.05,0.96,0
15.6,19.98,19.68,-273.15,0.05,1.00,0
15.7,20.28,20.28,-14.51,0.05,1.00,0
15.8,20.57,19.98,-273.15,0.04,0.96,0
15.9,19.98,19.98,-273.15,0.04,0.96,0
16.0,20.28,20.57,1.24,0.05,0.91,0
16.1,21.15,20.28,-273.15,0.05,0.96,0
16.2,20.28,20.28,-23.75,0.04,0.91,0
16.3,20.57,20.28,-273.15,0.04,1.00,0
16.3,20.57,19.68,-273.15,0.03,1.00,0
16.4,20.86,20.57,7.52,0.03,0.96,0
16.5,20.28,20.28,-273.15,0.03,0.96,0
16.6,20.28,20.28,-13.32,0.04,0.96,0
16.7,19.98,20.28,1.24,0.04,0.96,0
16.8,20.28,20.28,-15.78,0.03,0.96,0
16.9,20.86,20.28,-6.48,0.02,1.00,0
17.0,19.98,19.98,-273.15,0.02,0.96,0
17.1,20.57,20.28,-273.15,0.03,0.91,0
17.2,20.57,20.28,-273.15,0.03,0.96,0
17.3,20.57,20.28,-273.15,0.02,1.00,0
17.4,20.28,20.28,-20.15,0.02,1.00,0
17.5,20.57,20.28,-273.15,0.02,0.96,0
17.5,20.28,20.28,-43.90,0.02,1.00,0
17.6,19.98,19.98,-15.78,0.02,0.96,0
17.7,19.98,20.28,-273.15,0.02,0.96,0
17.8,19.68,20.28,-7.33,0.02,0.96,0
17.9,20.28,20.28,-273.15,0.02,0.91,0
18.0,20.28,20.28,-23.75,0.02,1.00,0
18.1,20.57,20.86,1.24,0.02,1.00,0
18.2,19.98,21.15,-273.15,0.01,0.96,0
18.3,19.98,20.28,-13.32,0.02,0.96,0
18.4,20.28,20.28,-273.15,0.02,1.00,0
18.5,19.98,19.68,-273.15,0.02,1.00,0
18.6,19.98,20.28,-12.20,0.01,1.00,0
18.7,20.57,20.57,-273.15,0.00,1.00,0
18.7,20.28,20.28,-6.48,0.01,0.96,0
18.8,20.28,20.28,-273.15,0.01,0.96,0
18.9,20.57,18.76,-21.86,0.00,0.96,0
19.0,20.57,20.57,4.58,0.00,1.00,0
19.1,20.28,19.98,-273.15,0.00,0.96,0
19.2,20.28,20.28,-20.15,-0.00,0.96,0
19.3,20.57,20.28,-273.15,-0.00,0.96,0
19.4,20.57,19.98,-273.15,-0.00,0.96,0
19.5,20.28,19.68,4.05,-0.01,0.96,0
19.6,20.57,20.57,-273.15,-0.01,1.00,0
19.7,20.57,19.98,-14.51,-0.01,1.00,0
19.8,20.28,20.57,4.58,-0.02,1.00,0
19.9,20.28,19.98,-273.15,-0.02,0.96,0
19.9,20.28,19.98,-5.66,-0.02,0.96,0
20.0,19.98,20.57,-273.15,-0.02,0.96,0
20.1,20.28,20.28,-20.15,-0.03,0.96,0
20.2,20.57,20.57,-10.11,-0.03,1.00,0
20.3,20.28,20.57,-273.15,-0.03,0.96,0
20.4,19.98,19.68,-11.13,-0.04,0.96,0
20.5,20.28,20.28,-273.15,-0.04,0.96,0
20.6,20.28,21.72,-273.15,-0.04,0.96,0
20.7,20.57,20.57,5.60,-0.03,0.96,0
20.8,20.57,20.57,-273.15,-0.03,1.00,0
20.9,20.86,20.86,-9.15,-0.04,1.00,0
21.0,19.98,20.28,-273.15,-0.04,1.00,0
21.0,20.28,20.86,-273.15,-0.04,1.00,0
21.1,20.28,20.57,-12.20,-0.05,0.96,0
21.2,20.57,21.15,-273.15,-0.05,0.96,0
